[1, 18, 13, 5, 0, 46.85381, 0.9933841]
[1, 18, 15, 250, 251, 46.866207, 0.99338]
[1, 18, 16, 241, 240, 46.878647, 0.9933821]
[1, 18, 18, 2, 0, 46.899452, 0.9933823]
[1, 19, 12, 1, 0, 46.91199, 0.9933829]
[1, 19, 13, 18, 19, 46.907806, 0.9933834]
[1, 19, 15, 249, 254, 46.95403, 0.99338317]
[1, 19, 17, 4, 0, 46.99222, 0.99338317]
[1, 19, 18, 1, 0, 47.005028, 0.9933832]
[1, 20, 11, 0, 0, 47.0093, 0.99338317]
[1, 20, 12, 4, 3, 47.022156, 0.9933834]
[1, 20, 14, 251, 254, 47.0523, 0.9933832]
[1, 20, 15, 220, 219, 47.065285, 0.9933834]
[1, 20, 16, 34, 35, 47.07831, 0.9933831]
[1, 20, 17, 2, 0, 47.1001, 0.9933831]
[1, 20, 18, 0, 0, 47.10447, 0.9933831]
[1, 21, 11, 2, 0, 47.126392, 0.9933831]
[1, 21, 13, 250, 254, 47.166138, 0.99338317]
[1, 21, 14, 253, 254, 47.179466, 0.9933832]
[1, 21, 16, 4, 0, 47.2197, 0.9933832]
[1, 21, 17, 0, 0, 47.224194, 0.9933832]
[1, 22, 10, 0, 0, 47.22869, 0.9933832]
[1, 22, 11, 29, 31, 47.25125, 0.9933832]
[1, 22, 12, 225, 224, 47.264843, 0.9933832]
[1, 22, 13, 251, 254, 47.296726, 0.9933832]
[1, 22, 15, 5, 1, 47.338066, 0.9933832]
[1, 22, 16, 1, 0, 47.351936, 0.9933832]
[1, 23, 10, 1, 0, 47.36585, 0.9933832]
[1, 23, 11, 134, 133, 47.379803, 0.9933832]
[1, 23, 12, 248, 254, 47.440807, 0.9933832]
[1, 23, 14, 51, 52, 47.45501, 0.9933832]
[1, 23, 15, 1, 0, 47.469257, 0.9933832]
[1, 24, 9, 0, 0, 47.474014, 0.9933832]
[1, 24, 11, 241, 242, 47.488323, 0.9933832]
[1, 24, 12, 250, 254, 47.53154, 0.9933832]
[1, 24, 13, 253, 254, 47.54604, 0.9933832]
[1, 25, 9, 3, 0, 47.580063, 0.9933832]
[1, 25, 10, 121, 121, 47.584946, 0.9933832]
[1, 25, 11, 252, 254, 47.609444, 0.9933832]
[1, 25, 12, 253, 254, 47.624203, 0.9933832]
