[0, 0, 0, 0, 35.10557, 0.9811089]
[2, 7, 6, 71, 84, 35.121056, 0.9811089]
[2, 7, 7, 197, 185, 35.135483, 0.9811089]
[2, 7, 8, 175, 159, 35.154423, 0.981109]
[2, 7, 9, 157, 151, 35.162247, 0.9811091]
[2, 7, 10, 49, 60, 35.168682, 0.9811089]
[2, 7, 10, 50, 60, 35.17457, 0.98110896]
[2, 7, 11, 26, 36, 35.18046, 0.981109]
[2, 7, 11, 27, 36, 35.185802, 0.98110896]
[2, 7, 14, 9, 0, 35.197063, 0.9811092]
[2, 7, 15, 8, 0, 35.207222, 0.9811094]
[2, 7, 16, 7, 0, 35.216274, 0.98110944]
[2, 7, 17, 6, 0, 35.224213, 0.98110944]
[2, 7, 18, 1, 0, 35.226482, 0.98110944]
[2, 7, 19, 5, 0, 35.2333, 0.98110944]
[2, 7, 20, 7, 0, 35.2424, 0.98110944]
[2, 8, 5, 4, 0, 35.248104, 0.98110944]
[2, 8, 6, 214, 222, 35.252956, 0.98110944]
[2, 8, 6, 215, 222, 35.257244, 0.98110944]
[2, 8, 7, 246, 254, 35.262104, 0.98110944]
[2, 8, 7, 247, 254, 35.2664, 0.98110944]
[2, 8, 8, 240, 254, 35.27471, 0.9811093]
[2, 8, 8, 241, 254, 35.28247, 0.98110944]
[2, 8, 9, 243, 254, 35.289085, 0.98110944]
[2, 8, 9, 244, 254, 35.295135, 0.9811095]
[2, 8, 10, 243, 254, 35.301773, 0.9811094]
[2, 8, 10, 244, 254, 35.307842, 0.98110944]
[2, 8, 12, 216, 198, 35.329876, 0.9811121]
[2, 8, 13, 204, 198, 35.338024, 0.9811147]
[2, 8, 14, 216, 198, 35.36021, 0.9811188]
[2, 8, 15, 217, 198, 35.383686, 0.98112166]
[2, 8, 16, 216, 198, 35.40611, 0.98112255]
[2, 8, 17, 214, 198, 35.42627, 0.9811229]
[2, 8, 18, 209, 198, 35.44056, 0.981123]
[2, 8, 19, 215, 198, 35.462082, 0.981123]
[2, 8, 20, 174, 170, 35.46808, 0.981123]
[2, 8, 21, 45, 52, 35.47258, 0.981123]
[2, 8, 21, 46, 52, 35.476486, 0.981123]
[2, 9, 6, 55, 67, 35.48401, 0.981123]
[2, 9, 6, 56, 67, 35.49094, 0.981123]
[2, 9, 7, 96, 114, 35.502113, 0.981123]
[2, 9, 7, 97, 114, 35.512714, 0.981123]
[2, 9, 8, 57, 72, 35.52212, 0.9811229]
[2, 9, 8, 58, 72, 35.53094, 0.981123]
[2, 9, 9, 92, 114, 35.54466, 0.9811229]
[2, 9, 9, 93, 114, 35.55781, 0.981123]
[2, 9, 10, 175, 163, 35.573772, 0.98112535]
[2, 9, 12, 239, 254, 35.58331, 0.9811238]
[2, 9, 12, 240, 254, 35.592255, 0.9811222]
[2, 9, 14, 242, 254, 35.59998, 0.98111856]
[2, 9, 14, 243, 254, 35.6071, 0.9811147]
[2, 9, 15, 241, 254, 35.615475, 0.9811128]
[2, 9, 15, 242, 254, 35.62324, 0.9811105]
[2, 9, 16, 243, 254, 35.6304, 0.9811094]
[2, 9, 16, 244, 254, 35.636948, 0.981108]
[2, 9, 17, 239, 250, 35.644127, 0.9811078]
[2, 9, 17, 240, 250, 35.650692, 0.9811075]
[2, 9, 18, 229, 229, 35.65101, 0.9811074]
[2, 9, 18, 230, 229, 35.650692, 0.9811073]
[2, 9, 19, 247, 254, 35.655388, 0.9811074]
[2, 9, 19, 248, 254, 35.659466, 0.9811074]
[2, 9, 20, 248, 254, 35.663544, 0.9811073]
[2, 9, 20, 249, 254, 35.667, 0.9811072]
[2, 9, 21, 136, 140, 35.669823, 0.9811072]
[2, 9, 21, 137, 140, 35.672028, 0.9811072]
[2, 10, 10, 8, 0, 35.68336, 0.98111916]
[2, 10, 12, 42, 66, 35.69884, 0.981126]
[2, 10, 12, 43, 66, 35.713734, 0.981131]
[2, 10, 14, 55, 67, 35.721684, 0.9811075]
[2, 10, 14, 56, 67, 35.729004, 0.9810809]
[2, 10, 15, 56, 67, 35.73634, 0.9810636]
[2, 10, 15, 57, 67, 35.743046, 0.98104477]
[2, 10, 16, 66, 67, 35.744007, 0.98103017]
